"d25" "d50" "d75"
"1" -16.2265439373935 -14.338761990436 -12.1091617749361
"2" -16.0288215312189 -14.1412447661383 -11.9115643609163
"3" -15.9324213666501 -14.0453602367227 -11.8154808325188
"4" -15.8369013781701 -13.9505623207099 -11.7204071138386
"5" -14.747210312067 -12.863074115193 -10.6321506024795
"6" -14.7631196627041 -12.8826586180301 -10.6505269015485
"7" -14.778849393405 -12.9019673384789 -10.6686531204808
"8" -14.5955117995611 -12.7224262491378 -10.4878721712499
"9" -13.6250194762304 -11.7577477528013 -9.52157141844483
"10" -13.5659276743165 -11.7064433956742 -9.46833294188251
"11" -13.6105508146239 -11.7587802274671 -9.51878922785009
"12" -13.4571181717034 -11.6131852060613 -9.37130890360474
"13" -13.6084375820667 -11.7722444126757 -9.52855300504459
"14" -13.4526021220634 -11.6239941035376 -9.37842606487419
"15" -12.9927292623447 -11.172954198795 -8.92524697353794
"16" -13.0322811097581 -11.2221809736546 -8.97219753582906
"17" -12.9707713192432 -11.1702211363565 -8.91796110819337
"18" -12.8109358417512 -11.020333358019 -8.76576282732041
"19" -12.653562409155 -10.873567809583 -8.61663801236734
"20" -12.4986848071058 -10.7299637527847 -8.47063721356022
"21" -12.5446711697083 -10.7873076313617 -8.52558206576117
"22" -12.2923717568638 -10.5467482480325 -8.28261350334666
"23" -11.4499378538997 -9.71942414160253 -7.45291809756328
"24" -10.0320000857905 -8.3263013683886 -6.05883884047608
"25" -8.85094486758521 -7.1869868644911 -4.92470933630385
"26" -8.98766907994439 -7.37292249099102 -5.11909687440625
"27" -9.11904472553787 -7.54833776309755 -5.29936508719983
"28" -8.06888745586044 -6.55007716231851 -4.3104107234401
"29" -3.97188461860034 -2.07086409349692 -0.841790472141242
"30" -8.51387039790887 -4.21597032126888 -3.3232781174896
"31" -8.86890607200593 -4.77008736741548 -4.07319154507113
"32" -9.19921360279083 -5.25278292318727 -4.6624646873646
"33" -9.51723255088753 -5.69229296688754 -5.16622264023635
"34" -9.8394324117999 -6.11282787650322 -5.62561557451042
"35" -10.1782886527114 -6.53125300091154 -6.06523167179265
"36" -10.4980709738297 -6.91885839808626 -6.46452395579819
"37" -10.8035079172454 -7.28305990201383 -6.83378116845002
"38" -11.0896857497495 -7.61128431108799 -7.16392733165853
"39" -11.391810693168 -7.90563535724974 -7.45849804693353
"40" -11.6675631211489 -8.17378798604982 -7.72555777844846
