"d25" "d50" "d75"
"1" 159.193387307873 159.193387307873 159.193387307873
"2" 159.237611778799 159.251614715993 159.27926429519
"3" 159.218657121517 159.258393095598 159.330121084464
"4" 159.220757453066 159.282290830219 159.393276750525
"5" 159.222823083356 159.306142120305 159.456357999327
"6" 159.014283902156 159.158330123938 159.401336572636
"7" 159.037286070519 159.199159463864 159.484160647271
"8" 159.060122152913 159.239855955764 159.562096068937
"9" 159.040795714998 159.246134306839 159.614162273217
"10" 158.860122805752 159.12193754837 159.559149067888
"11" 158.874023318753 159.15746902402 159.638375367405
"12" 158.912856886436 159.214096351116 159.736319046233
"13" 158.910952648803 159.237649032377 159.805454550215
"14" 158.977310792685 159.317910684511 159.924509287001
"15" 158.972340010026 159.338305974281 159.990142959636
"16" 158.894673127858 159.297410723901 160.000867598601
"17" 158.917711655543 159.338004292579 160.081931893919
"18" 158.918253053289 159.359870528958 160.146264783063
"19" 158.89771281418 159.364398081534 160.195234780664
"20" 158.877091159922 159.36876093487 160.243832793886
"21" 158.85638527766 159.372957821834 160.29205434889
"22" 158.877526637644 159.4113362474 160.365554761393
"23" 158.835660724436 159.398016115979 160.402389190746
"24" 158.667978733044 159.281469869399 160.344133131534
"25" 158.375030551552 159.061994192527 160.195264004564
"26" 158.124644985396 158.877108694833 160.076200947632
"27" 158.144972245376 158.914299109331 160.151606060443
"28" 158.164932470216 158.951142145898 160.22639201309
"29" 157.935041866628 158.78260982515 160.120373327178
"30" 156.792925065067 157.863714685787 159.353855357265
"31" 156.832297041599 157.916069335753 159.440838325233
"32" 156.870997730894 157.967750553299 159.526742029294
"33" 156.909089034667 158.018850737184 159.611681616438
"34" 156.955582207729 158.078282306347 159.704589459444
"35" 157.025399478455 158.160902102247 159.820340612006
"36" 157.130354440027 158.278483675755 159.970727424704
"37" 157.230834486128 158.391401053055 160.116155799964
"38" 157.329774664483 158.502579475679 160.259567230106
"39" 157.40806784653 158.592914688905 160.381879471379
"40" 157.464257465917 158.660955160827 160.481656180924
"41" 157.504320835938 158.712685767264 160.564894945951
"42" 157.541473038386 158.761330389139 160.644830294285
"43" 157.57870554594 158.809892899616 160.724480164709
"44" 157.616029608763 158.858398110136 160.80388373762
"45" 157.653453501247 158.9068678492 160.883076364906
"46" 157.690983187278 158.955321285595 160.962089918801
"47" 157.728622833261 159.003775217604 161.040953109304
"48" 157.766375205144 159.052244331695 161.119691772965
"49" 157.804241976756 159.100741433822 161.198329135576
"50" 157.842223970094 159.14927765619 161.276886051101
"51" 157.88032134319 159.197862642012 161.355381218992
"52" 157.918533737454 159.24650471058 161.433831381817
"53" 157.956860393575 159.295211004677 161.512251504987
"54" 157.995300242921 159.343987622216 161.590654940199
"55" 158.03385197979 159.392839733737 161.669053574071
"56" 158.07251411864 159.441771687273 161.747457963299
"57" 158.113269326823 159.49277095655 161.827860556689
"58" 157.950343590134 159.375939234294 161.75929742722
"59" 157.874894166124 159.332098561404 161.755958753667
"60" 157.927931720657 159.395332776645 161.848283258505
"61" 157.988953748355 159.466588552951 161.948536325514
"62" 158.04797763972 159.535862251741 162.046724862812
"63" 158.082177789959 159.583875539785 162.125439231417
"64" 158.046025575519 159.572207690394 162.149966028287
"65" 157.752548519607 159.345826111122 161.981873999294
"66" 157.356603142729 159.034177095563 161.737260049753
"67" 157.394996757029 159.082761256532 161.81407357615
"68" 157.433056835919 159.131121367509 161.890502831066
"69" 157.202827116549 158.95666952275 161.767486052593
"70" 157.240422890919 159.004569714187 161.843080216026
"71" 157.277791174874 159.052262609984 161.9183044601
"72" 157.315017795636 159.099788727608 161.993211001596
"73" 157.352167588887 159.147183911557 162.067846932786
"74" 157.389289550352 159.194479833082 162.142254693218
"75" 157.426420690747 159.241704437977 162.216472498703
"76" 157.463588926923 159.288882347637 162.29053473129
"77" 157.500815255609 159.336035218114 162.364472293702
"78" 157.393657190118 159.263014858493 162.330502180509
"79" 157.327934040866 159.224341813722 162.327176641611
"80" 157.28286012495 159.202776406328 162.339047280214
"81" 157.321308546935 159.250895637439 162.413480566419
"82" 157.37461230425 159.313844887149 162.502637184947
"83" 157.459976161872 159.408808435016 162.623701924012
"84" 157.339991935117 159.329395460626 162.585921756086
"85" 157.444379191441 159.446688239112 162.730805463044
"86" 157.548294108948 159.560071237217 162.869973587187
"87" 157.622537195492 159.643768948862 162.979388608294
"88" 157.669716494138 159.700375667074 163.061648231218
"89" 157.709498757119 159.749544811494 163.136400187487
"90" 157.746861991254 159.79625033025 163.208622391179
"91" 157.78429964854 159.842985238356 163.280813253531
"92" 157.801115849338 159.872492073956 163.337424874001
"93" 157.838721074011 159.919309863615 163.409589885463
"94" 157.731379393279 159.845187182694 163.372636036964
"95" 157.66564243139 159.805700937724 163.366801314794
"96" 157.620638241061 159.78348559422 163.376438320124
"97" 157.368969127906 159.588671242155 163.23010386884
"98" 157.138617994144 159.411469724874 163.099385705414
"99" 156.703242383267 159.062684142151 162.813233743367
"100" 156.453864719106 158.869127440975 162.666944873503
"101" 156.102887920567 158.590321618835 162.443060250604
"102" 155.996518421842 158.516246973513 162.40408275448
"103" 155.36264838069 157.999755750459 161.963794665613
"104" 155.356748190405 158.009783397713 162.000151845399
"105" 155.391986970006 158.054508063203 162.067772344301
"106" 155.438593536511 158.11055089202 162.14643755944
"107" 155.492348513277 158.173630799226 162.231891432857
"108" 155.606665327306 158.29709912759 162.377470784392
"109" 155.669543156655 158.37219787729 162.476056160271
"110" 155.694406431329 158.412333108891 162.541048413853
"111" 155.81007266852 158.536624343611 162.686876185263
"112" 155.652368521527 158.419598036538 162.606746984553
"113" 155.688033084335 158.463597361708 162.67197330834
"114" 155.720714980241 158.50448666846 162.733938457057
"115" 155.733230454873 158.528285766874 162.780208719947
"116" 155.766021060121 158.569020207752 162.841755766676
"117" 155.778687838216 158.592715256513 162.887681239485
"118" 155.751018269007 158.582364704725 162.90250174928
"119" 155.763888379067 158.606041165777 162.948199541851
"120" 155.797073677467 158.646746270989 163.009326124719
"121" 155.810151857752 158.670464475985 163.054910369595
"122" 155.803123199712 158.677197820206 163.084952810538
"123" 155.836668578977 158.718049736994 163.146040456073
"124" 155.870342964872 158.75897855899 163.207164866709
"125" 155.883915202458 158.782950977833 163.252800476187
"126" 155.877378289422 158.789961848184 163.282938191653
"127" 155.911461017255 158.831176406972 163.344263479893
"128" 155.905171368037 158.838372481843 163.374534058175
"129" 155.899006882667 158.845668426938 163.404880109262
"130" 155.952113905509 158.905845340191 163.485111916774
"131" 156.046431008633 159.007208085367 163.606500279281
"132" 156.150807891115 159.118620817151 163.737941840858
"133" 156.281527669537 159.256359441614 163.895705163655
"134" 156.403661508005 159.385513466717 164.044912491897
"135" 156.477414953301 159.46630882193 164.145823633876
"136" 156.536329316164 159.532271890062 164.231938710166
"137" 156.575541719865 159.578544682423 164.298406523427
"138" 156.611127795212 159.621197698092 164.361287331049
"139" 156.646858434044 159.664003156292 164.424353947301
"140" 156.682733288427 159.706963843545 164.487612713402
"141" 156.718751582394 159.750081918888 164.551068982162
"142" 156.754912211277 159.793358986537 164.614727212079
"143" 156.791213819293 159.836796160676 164.678591052864
"144" 156.827654860276 159.880394123198 164.742663423155
"145" 156.864233645264 159.924153175176 164.806946581164
"146" 156.900948379873 159.968073282719 164.871442188879
"147" 156.937797193639 160.012154117818 164.936151370425
"148" 156.933775720024 160.021787744341 164.969343616034
"149" 156.950363508373 160.048862267915 165.018576918224
"150" 156.967043896211 160.076065200046 165.067979993615
"151" 156.881284119599 160.01680681169 165.038097190635
"152" 156.795676119634 159.957691688577 165.008328443487
"153" 156.812482459081 159.985141555817 165.058012340607
"154" 156.632659857803 159.847681872832 164.956897832927
"155" 156.706926435121 159.929512507045 165.059485400799
"156" 156.784397687585 160.014609411033 165.165337346882
"157" 156.853706425797 160.091584601346 165.263078641999
"158" 156.789395560261 160.057067209865 165.259088937344
"159" 156.746722963766 160.037854765037 165.267565328743
"160" 156.692716468877 160.007305249986 165.264650088036
"161" 156.734433110516 160.056783656184 165.334805819276
"162" 156.239878563894 159.651235211041 164.985663850379
"163" 156.235712661083 159.661081226464 165.018699856519
"164" 156.271945670225 159.705187770073 165.083197963177
"165" 156.308003185994 159.749140769994 165.147472955143
"166" 156.34395867604 159.792978498895 165.211571270848
"167" 156.379868733866 159.836734756344 165.275534636665
"168" 156.415776916726 159.880439348965 165.339400505067
"169" 156.451716692185 159.924118520394 165.403202452614
"170" 156.487713704251 159.967795336134 165.466970541414
"171" 156.523787519403 160.011490027917 165.530731647333
"172" 156.559952974534 160.05522030172 165.594509757985
"173" 156.596221219713 160.099001613202 165.658326243238
"174" 156.63260052656 160.142847413927 165.722200100769
"175" 156.669096916306 160.186769371423 165.786148178944
"176" 156.705714648822 160.230777565794 165.850185379102
"177" 156.742456604267 160.274880665363 165.91432483917
"178" 156.789049681173 160.328805652963 165.988288154647
"179" 156.852441820511 160.399502126827 166.079022413511
"180" 156.899648260773 160.45709761576 166.157980374855
"181" 156.946959872533 160.514791048843 166.237050152739
"182" 157.023205343218 160.598314207554 166.340651814919
"183" 157.089833041086 160.672229522419 166.43467843792
"184" 157.156569196402 160.746257886493 166.528842361024
"185" 157.19840927792 160.795410440764 166.598181871097
"186" 157.236190371896 160.840512818036 166.663501628139
"187" 157.27408034731 160.885732079417 166.728966187552
"188" 157.312079326387 160.93107016023 166.794579348925
"189" 157.350187011622 160.976528534119 166.860344238178
"190" 157.38838936336 161.022108266576 166.926263372776
"191" 157.426699235053 161.067810062673 166.992338720944
"192" 157.465115630746 161.113634309602 167.058571755438
"193" 157.503637389646 161.159581114592 167.124963502364
"194" 157.542263229834 161.205650338683 167.191514585515
"195" 157.580991781617 161.251841626822 167.258225266631
"196" 157.619821613061 161.298154434656 167.325095481973
"197" 157.617420385914 161.309457434753 167.35952095651
"198" 157.532443678586 161.250585335436 167.328826902463
"199" 157.488906051654 161.226941432249 167.330814314452
"200" 157.486655557185 161.238441636982 167.36542622196
"201" 157.5256401192 161.285064257127 167.432666071697
"202" 157.567985689075 161.335093748401 167.503319570338
"203" 157.637234446698 161.412041040815 167.600873491554
"204" 157.737872320282 161.52037826731 167.729797754169
"205" 157.827348966475 161.617573864423 167.847610213219
"206" 157.900116431349 161.698077839343 167.948766341204
"207" 157.951616239418 161.757331103215 168.02871139556
"208" 157.99643672203 161.809910998311 168.102005608633
"209" 158.036863271212 161.85810096524 168.170930353206
"210" 158.076271734562 161.905274965433 168.238856453788
"211" 158.094979217648 161.934836989868 168.290406752162
"212" 158.0721894442 161.929071900088 168.309069679927
"213" 158.091009167085 161.958743546502 168.360731304066
"214" 158.130630809189 162.006155417863 168.428926626122
"215" 158.170286526321 162.053620873124 168.497185132661
"216" 158.209987415145 162.101144775994 168.565512744201
"217" 158.24974160113 162.14873127544 168.633914582552
"218" 158.289554974823 162.196383885125 168.702395047927
"219" 158.329431741602 162.244105554312 168.770957888808
"220" 158.369374833156 162.291898731133 168.83960626526
"221" 158.409386216304 162.339765419044 168.908342806298
"222" 158.449467125402 162.3877072272 168.977169661881
"223" 158.489618237773 162.435725415384 169.046088550027
"224" 158.529839806534 162.483820934083 169.115100799533
"225" 158.571322247901 162.533184170548 169.18539565388
"226" 158.621605020037 162.591350426998 169.264499510794
"227" 158.683069056281 162.660699947385 169.354790262617
"228" 158.763253573188 162.748767775872 169.46379407347
"229" 158.862158039826 162.855554138286 169.591511592099
"230" 158.997042218816 162.998307875487 169.755170103813
"231" 159.087354015106 163.096531092433 169.874372652786
"232" 159.149158126735 163.16627669402 169.965147632111
"233" 159.192469740414 163.21755267463 170.037487872159
"234" 159.233356282127 163.266415534711 170.10742811796
"235" 159.274296802085 163.3153429292 170.177442709127
"236" 159.315290670125 163.364334513177 170.24165296553
"237" 159.356337235753 163.41338986553 170.301047919909
"238" 159.397435832593 163.462508497849 170.360520205438
"239" 159.438585781994 163.511689862386 170.420069467062
"240" 159.479786395972 163.560933359191 170.479695268842
"241" 159.521036979623 163.610238342496 170.539397101147
"242" 159.562336833109 163.659604126436 170.599174387231
"243" 159.603685253299 163.709029990172 170.659026489276
"244" 159.64508153513 163.75851518248 170.718952713928
"245" 159.686524972748 163.808058925865 170.778952317383
"246" 159.728014860459 163.857660420242 170.839024510066
"247" 159.769550493536 163.907318846237 170.899168460919
"248" 159.811131168889 163.957033368145 170.959383301364
"249" 159.853847240328 164.007893424816 171.020756972
"250" 159.903450872731 164.065646984814 171.089029761507
"251" 159.956470266257 164.126824635425 171.16073697328
"252" 160.017367959712 164.195885554091 171.240331701276
"253" 160.078307837839 164.264999038179 171.319993679366
"254" 160.139288597347 164.334163420303 171.399720841696
"255" 160.194655622912 164.397727768113 171.473869472357
"256" 160.243316371918 164.454599865311 171.541348267949
"257" 160.28636040637 164.505868063197 171.603243585615
"258" 160.328348846446 164.556089838894 171.664106308519
"259" 160.349046080945 164.588119505927 171.713136521023
"260" 160.369764795394 164.620174931307 171.76220087972
"261" 160.39049322151 164.65224858205 171.811291598166
"262" 160.432563672273 164.702588712853 171.872309116793
"263" 160.45328951608 164.734685586668 171.92144357951
"264" 160.495372317027 164.785061721914 171.982514525734
"265" 160.537461558048 164.83545608003 172.043613326803
"266" 160.579563460699 164.885870627347 172.104741350932
"267" 160.621682613982 164.936307029347 172.16589973408
"268" 160.663822379011 164.98676668384 172.22708940322
"269" 160.705985190846 165.037250750575 172.288311097328
"270" 160.748172784172 165.087760177689 172.34956538631
"271" 160.790386362487 165.138295725311 172.410852688063
"272" 160.832626725302 165.188857986639 172.472173283869
"273" 160.874894364064 165.23944740675 172.533527332277
"274" 160.924428904391 165.297298189326 172.602138496941
"275" 160.97756161913 165.358744636109 172.674346256188
"276" 160.968051238203 165.366798664212 172.71229001186
"277" 160.980035853499 165.393249915716 172.76224445313
"278" 161.011693955534 165.43630316793 172.822428245572
"279" 160.810454284784 165.280307027101 172.753646230378
"280" 160.879722772667 165.35788295222 172.841919066602
"281" 160.925346289989 165.411890640205 172.90665955045
"282" 160.967298692862 165.462258569083 172.967763477313
"283" 161.009182297648 165.512566006971 173.028802722073
"284" 161.051021728853 165.562823964722 173.089786666719
"285" 161.092835595214 165.6130421639 173.150723717674
"286" 161.134637966222 165.663229176186 173.211621401391
"287" 161.176439476102 165.71339254793 173.272486450495
"288" 161.218248151309 165.763538911429 173.33332488141
"289" 161.238525448528 165.795188408155 173.382027059806
"290" 161.237258324011 165.808323279235 173.418571364521
"291" 161.149789607077 165.747444995884 173.406555005834
"292" 161.148508631481 165.760497042051 173.442942266094
"293" 161.190204126 165.810443089005 173.503488341478
"294" 161.231837930346 165.860334636356 173.56396701725
"295" 161.273434029814 165.910182377033 173.624387821841
"296" 161.315010464631 165.959995736693 173.684759303944
