"d25" "d50" "d75"
"1" 159.193387307873 159.193387307873 159.193387307873
"2" 159.271339123558 159.293514369376 159.32049839872
"3" 159.329389805273 159.381794296986 159.439719815413
"4" 159.394031241848 159.473955739991 159.561447081806
"5" 159.458539974536 159.566042841238 159.683048682644
"6" 159.456411496968 159.618414951034 159.778178723997
"7" 159.527139899684 159.714099404713 159.901874923559
"8" 159.59737827603 159.809626090952 160.02533109097
"9" 159.654019172308 159.897040957393 160.143251044068
"10" 159.663968150864 159.959259592493 160.246526836747
"11" 159.739116682993 160.062482200739 160.378679604942
"12" 159.824585649147 160.17359038865 160.517268437311
"13" 159.897760295181 160.277851404336 160.651558312457
"14" 159.996192269005 160.399262504537 160.798870127516
"15" 160.06610100863 160.500190704373 160.929582856651
"16" 160.106114813553 160.579169680752 161.042219531789
"17" 160.175187954977 160.673666366864 161.163544083954
"18" 160.235830651805 160.762457102322 161.280360226079
"19" 160.289518894503 160.846907478554 161.394029095143
"20" 160.342964291197 160.931015226495 161.507205519626
"21" 160.396139758047 161.01477251003 161.619878582336
"22" 160.462483688575 161.106239429052 161.737429786268
"23" 160.508380770193 161.185269699892 161.846410174745
"24" 160.513631272236 161.239667570969 161.938628568657
"25" 160.47809026026 161.269290146214 162.013903810792
"26" 160.455176058334 161.306353539603 162.093694165443
"27" 160.51897049889 161.395346131699 162.207781337992
"28" 160.581879219643 161.4838270269 162.321156763839
"29" 160.563414052713 161.523130185762 162.401212607872
"30" 160.247894212449 161.383138041792 162.360551612818
"31" 160.31423227726 161.473009074552 162.473071103359
"32" 160.379196250279 161.562071289135 162.584505738452
"33" 160.443281789302 161.650365963745 162.694906422561
"34" 160.515686540386 161.746757595856 162.813145407269
"35" 160.611388564134 161.866059417447 162.954042595154
"36" 160.742201641861 162.02001021687 163.129344045786
"37" 160.86851908695 162.168986294396 163.299442763007
"38" 160.993249295818 162.315890861314 163.467248150561
"39" 161.09727214803 162.441616235982 163.613663081072
"40" 161.179111039064 162.544699297392 163.737230599552
"41" 161.244723724998 162.631112515896 163.843927940967
"42" 161.307306321131 162.714066555627 163.946969401063
"43" 161.369841706988 162.796562401314 164.04936229962
"44" 161.432337391284 162.87862628302 164.151139756339
"45" 161.494800229726 162.960283227757 164.252333438953
"46" 161.557236572799 163.041557106658 164.352973617527
"47" 161.619652350246 163.122470680675 164.453089217229
"48" 161.682053122 163.203045644822 164.552707869535
"49" 161.744444111218 163.283302670972 164.651855961883
"50" 161.806830227708 163.363261449223 164.750558685789
"51" 161.869216086059 163.442940727865 164.84884008344
"52" 161.9316060208 163.522358351964 164.946723092781
"53" 161.994004099788 163.601531300591 165.044229591107
"54" 162.056414136462 163.680475722724 165.141380437203
"55" 162.118839701325 163.759206971864 165.238195512056
"56" 162.181284132824 163.837739639375 165.334693758149
"57" 162.245733533013 163.918069970557 165.432875070809
"58" 162.245477296779 163.960509146189 165.50660629403
"59" 162.27654944469 164.023385082241 165.595200186372
"60" 162.352607216064 164.115104420672 165.70436530642
"61" 162.436476982566 164.214631270682 165.821216448533
"62" 162.518261615925 164.311971004571 165.935766463465
"63" 162.58903775716 164.400857212812 166.043111475912
"64" 162.631016718533 164.468906623442 166.133588131481
"65" 162.58179979802 164.478100824296 166.181401864138
"66" 162.49759263703 164.465800103604 166.214316301343
"67" 162.557455483129 164.54122376616 166.306220677418
"68" 162.616668892305 164.616290485854 166.397622126613
"69" 162.585717541864 164.636248377465 166.451425362397
"70" 162.644063970102 164.710453282583 166.541635483145
"71" 162.702048420363 164.784298317119 166.631341068314
"72" 162.759851991337 164.857808374646 166.720573530615
"73" 162.817572618748 164.93100714919 166.809362818074
"74" 162.875264273225 165.003917184117 166.897737471881
"75" 162.932957617764 165.076559919363 166.985724682371
"76" 162.990670895663 165.14895573704 167.073350343143
"77" 163.048415671635 165.221124005453 167.160639103362
"78" 163.057576388229 165.263374356029 167.227441798747
"79" 163.080474773307 165.313793152017 167.299558226176
"80" 163.11006956586 165.36815063616 167.374126348494
"81" 163.168400306697 165.440402400993 167.461016854194
"82" 163.241466227117 165.527291629097 167.562433896208
"83" 163.346508074425 165.64598165563 167.695539962062
"84" 163.369090860558 165.706379016664 167.78255721838
"85" 163.506499056798 165.85982916208 167.951550918855
"86" 163.629693252211 165.996326480907 168.102134321391
"87" 163.723175663526 166.103003774414 168.222815086969
"88" 163.789582426548 166.182447238921 168.316181155561
"89" 163.848571191819 166.254285525167 168.401856467334
"90" 163.90511743413 166.323487374763 168.484811900245
"91" 163.961711263431 166.392544950291 168.567542853337
"92" 164.011338006611 166.457169614912 168.647138487374
"93" 164.068020949241 166.525966156792 168.729456150522
"94" 164.07552932356 166.564482592291 168.791048138028
"95" 164.09695905301 166.611399574029 168.858195091591
"96" 164.125187771011 166.66241644788 168.927975578758
"97" 164.082824315912 166.670049414623 168.968032471205
"98" 164.047037051106 166.681622134047 169.010508346411
"99" 163.94032429559 166.649586811166 169.022953904634
"100" 163.895919160543 166.655805636743 169.061071552923
"101" 163.815410266727 166.63984723503 169.083667608572
"102" 163.817961965537 166.674981094091 169.140691695042
"103" 163.637387076419 166.597242505254 169.12023997499
"104" 163.672667716162 166.65234710463 169.189920569887
"105" 163.722407601517 166.716912681579 169.266140914923
"106" 163.783409785543 166.792681311653 169.35338449466
"107" 163.851587855303 166.875338850182 169.447349827359
"108" 163.980318262761 167.018124266921 169.601259384676
"109" 164.070878932471 167.125015221086 169.720517440454
"110" 164.136649647449 167.209386102388 169.818496866189
"111" 164.266801635519 167.352327110058 169.972140217059
"112" 164.255424556159 167.380346216355 170.024517148122
"113" 164.305464608371 167.442557721493 170.097189310652
"114" 164.352376361176 167.501420176945 170.166390491891
"115" 164.392192850576 167.555578012221 170.232146711103
"116" 164.439061178943 167.61376750177 170.300447704766
"117" 164.478906556532 167.667303791722 170.365370279997
"118" 164.504661662533 167.71182532372 170.423933686897
"119" 164.544533427884 167.764797371938 170.488093547292
"120" 164.591474196304 167.821899057811 170.554916288524
"121" 164.631390986654 167.874419704274 170.618455617972
"122" 164.664285356568 167.922362582803 170.678717974355
"123" 164.711368284103 167.978870813649 170.744710985069
"124" 164.758517662719 168.035230364187 170.810489159134
"125" 164.79867807556 168.087075696035 170.873072694828
"126" 164.83183512164 168.134406083696 170.932463125519
"127" 164.879233051665 168.190393556106 170.997689913919
"128" 164.912517644164 168.237506968131 171.056756938937
"129" 164.945857751152 168.28451882044 171.115670937734
"130" 165.012068916118 168.358856352786 171.199086170458
"131" 165.11938732737 168.474147339698 171.323392489638
"132" 165.236735329729 168.599315453196 171.457536630111
"133" 165.380382898193 168.750615179774 171.617767437927
"134" 165.515459232457 168.893201502919 171.769263675411
"135" 165.602231179476 168.987372523125 171.872348474603
"136" 165.674188174862 169.066601615059 171.960476635981
"137" 165.726475499295 169.126045686595 172.028810369485
"138" 165.77514520362 169.18175474701 172.09339266298
"139" 165.823964464424 169.237502763038 172.157998302151
"140" 165.872935336084 169.293300947613 172.222641538257
"141" 165.922059555565 169.349159803166 172.287335741875
"142" 165.971338598819 169.405089155391 172.352093443849
"143" 166.020773715409 169.461098185537 172.416926374469
"144" 166.070365951441 169.517195461274 172.481845500963
"145" 166.120116166131 169.573388966209 172.546861063382
"146" 166.170025044812 169.629686128086 172.611982608916
"147" 166.220093109893 169.686093845751 172.677219024738
"148" 166.255895913918 169.733672379265 172.736432583407
"149" 166.299013292399 169.785811969978 172.798807561002
"150" 166.342217046449 169.838050432983 172.861285186586
"151" 166.349393629778 169.867983343601 172.908468924046
"152" 166.356517525521 169.897928244527 172.955648569938
"153" 166.399599226972 169.950279329385 173.018206498806
"154" 166.378354493657 169.965830482789 173.057971318881
"155" 166.465359915561 170.059638911556 173.160510928309
"156" 166.555486958898 170.156739766637 173.266329591181
"157" 166.637480124212 170.245756746674 173.364060475359
"158" 166.678509111125 170.313001427467 173.449839990239
"159" 166.714608454004 170.369865538733 173.522411341233
"160" 166.739232860842 170.415365766238 173.583596262971
"161" 166.793493842496 170.476892681685 173.653747178141
"162" 166.654088975741 170.416181967179 173.638219419972
"163" 166.688240528153 170.463394752174 173.696729931944
"164" 166.736360306065 170.519467722193 173.761240114429
"165" 166.784243658211 170.575419762422 173.825586838496
"166" 166.832060075737 170.631269728376 173.889793128577
"167" 166.879900419598 170.687035450195 173.953880778732
"168" 166.927813997747 170.742733777796 174.017870405708
"169" 166.975828104193 170.798380624256 174.081781499966
"170" 167.023958317136 170.85399100751 174.145632474756
"171" 167.072213928885 170.909579090391 174.209440713286
"172" 167.120600811331 170.965158219077 174.273222614057
"173" 167.169122930499 171.020740959993 174.336993634405
"174" 167.21778314939 171.076339135216 174.400768332321
"175" 167.266583655758 171.131963856446 174.464560406616
"176" 167.315526192168 171.187625557578 174.528382735451
"177" 167.364612181693 171.243334025933 174.592247413342
"178" 167.423550379546 171.308798473986 174.665858978999
"179" 167.499276558236 171.390957300584 174.756153291988
"180" 167.571990301983 171.472786904358 174.847533351084
"181" 167.644819231389 171.554678462537 174.938976722766
"182" 167.733395330864 171.649516336092 175.041944514214
"183" 167.812379142921 171.734738152619 175.135307988907
"184" 167.891489886424 171.820046293182 175.228763334188
"185" 167.945774471289 171.880505446361 175.297394575443
"186" 167.996033347965 171.936899778309 175.361971005273
"187" 168.046428314181 171.993390817875 175.42665234514
"188" 168.096960751009 172.049983940687 175.491445310228
"189" 168.147631384552 172.106684116751 175.556356118509
"190" 168.19844054477 172.163495930281 175.621390514565
"191" 168.249388304661 172.220423598674 175.686553792365
"192" 168.300474556332 172.277470990622 175.751850817063
"193" 168.351699053681 172.334641643437 175.817286045851
"194" 168.403061437394 172.391938779596 175.882863547903
"195" 168.454561250508 172.44936532255 175.948587023447
"196" 168.506197948888 172.50692391183 176.014459822016
"197" 168.543157184852 172.555375577302 176.074101734534
"198" 168.55055395192 172.585434076007 176.121080208554
"199" 168.572699716093 172.624765780835 176.174466850492
"200" 168.609541738493 172.673379136448 176.234272375548
"201" 168.661124980605 172.731297341882 176.300523239128
"202" 168.71607644136 172.792656948234 176.370218742984
"203" 168.797924481921 172.880914060779 176.466797918107
"204" 168.911157735742 173.000528877201 176.594719290575
"205" 169.013309847796 173.10905998276 176.71157630367
"206" 169.098839864828 173.200965614894 176.811831305971
"207" 169.163193304002 173.271693371705 176.890935192838
"208" 169.220925318727 173.335786129096 176.963418983002
"209" 169.274313367019 173.395521260509 177.03155865387
"210" 169.326724000358 173.454264852538 177.098718124153
"211" 169.371769123289 173.508437170594 177.162757546942
"212" 169.401933626749 173.553345802385 177.220423243672
"213" 169.447068549027 173.607651615664 177.284605164677
"214" 169.499698480188 173.666704401384 177.352097837697
"215" 169.552378599242 173.725841917379 177.419683292946
"216" 169.60513571272 173.785067331971 177.487365403018
"217" 169.657983796106 173.844383544511 177.55514771467
"218" 169.710914959466 173.903793198705 177.623033464676
"219" 169.763946941765 173.963298695354 177.691025594984
"220" 169.817082532508 174.022902204529 177.759126767232
"221" 169.870322689664 174.082605677199 177.827339376623
"222" 169.923667513225 174.142410856352 177.895665565202
"223" 169.977116686686 174.202319287609 177.964107234552
"224" 170.030669678203 174.262332329372 178.032666057936
"225" 170.085513883211 174.323638169175 178.102529492707
"226" 170.149172927199 174.393755584627 178.181210198368
"227" 170.224022880881 174.475060406654 178.27108243187
"228" 170.317587467263 174.575071406764 178.379658889345
"229" 170.429866314777 174.69378988068 178.506941265836
"230" 170.578083225394 174.848425614144 178.670124575202
"231" 170.681853767575 174.9586676333 178.788967943771
"232" 170.757205970636 175.04052869707 178.879467772191
"233" 170.814132248572 175.103992129886 178.95159729302
"234" 170.86866539131 175.165076627956 179.021360431156
"235" 170.923279274297 175.22625477942 179.091227632966
"236" 170.977973428135 175.287527084757 179.161199520434
"237" 171.032747336232 175.348893920351 179.231276562511
"238" 171.087600437789 175.410355545332 179.30145908346
"239" 171.142532130634 175.471912108103 179.371747270819
"240" 171.197541773933 175.533563652561 179.442141183003
"241" 171.252628690749 175.59531012402 179.512640756546
"242" 171.307792170495 175.657151374859 179.583245813014
"243" 171.363031471252 175.719087169905 179.6539560656
"244" 171.418345821991 175.781117191561 179.724771125407
"245" 171.473734424666 175.843241044689 179.795690507444
"246" 171.529196456216 175.905458261266 179.866713636346
"247" 171.584731070473 175.967768304815 179.937839851814
"248" 171.640337399959 176.030170574629 180.009068413825
"249" 171.697103248588 176.093752075382 180.081485163842
"250" 171.760768125979 176.164247110644 180.160818929129
"251" 171.827867797753 176.238195036608 180.243612304252
"252" 171.902854798219 176.32004426865 180.334309327579
"253" 171.977909964068 176.401983245815 180.425105666414
"254" 172.053031370906 176.484009893434 180.515998785493
"255" 172.122576209814 176.56048664177 180.601356006869
"256" 172.185453519328 176.630323252431 180.680087513551
"257" 172.242749692951 176.694604763653 180.753276735451
"258" 172.29901515399 176.757876973058 180.825464657058
"259" 172.347604799513 176.816378929033 180.894369932423
"260" 172.39623390344 176.874938678914 180.96333659229
"261" 172.444870685096 176.933550370317 181.03235750799
"262" 172.501245396675 176.99706528868 181.104799977893
"263" 172.549871227583 177.055779354316 181.173927911511
"264" 172.606263245804 177.119397709257 181.246475820375
"265" 172.66266424109 177.183070150459 181.319079379318
"266" 172.71909568987 177.246796653401 181.39173851298
"267" 172.775566948474 177.3105771257 181.464453065369
"268" 172.832081890922 177.374411410969 181.537222804448
"269" 172.888641906639 177.438299292508 181.61004742651
"270" 172.945247254604 177.502240496815 181.682926560357
"271" 173.001897675426 177.566234696942 181.755859771287
"272" 173.058592668349 177.630281515686 181.828846564898
"273" 173.115331616939 177.69438052864 181.901886390719
"274" 173.179336570915 177.765746673265 181.982186718344
"275" 173.246946739962 177.840723248228 182.066094635486
"276" 173.292933486542 177.902812619339 182.141595120657
"277" 173.346732653871 177.969806327933 182.220497435486
"278" 173.406489634498 178.039930916389 182.301028971092
"279" 173.383599195593 178.059533688852 182.347480254695
"280" 173.46714028424 178.15062633108 182.447411325183
"281" 173.526866450678 178.218258614459 182.523888080171
"282" 173.582875002376 178.282295005196 182.596753880641
"283" 173.638824624559 178.346296723465 182.669566811225
"284" 173.694759775628 178.410267631643 182.742331462752
"285" 173.750700835703 178.474211364071 182.815052159545
"286" 173.806657276552 178.538131337366 182.887732971232
"287" 173.862633609975 178.602030760318 182.960377724081
"288" 173.918632075292 178.665912643365 183.032990011877
"289" 173.966779155044 178.724828956751 183.102124951383
"290" 174.007054857033 178.778760822798 183.167762034018
"291" 174.015763099316 178.812814143449 183.219515230551
"292" 174.055876365231 178.866579627822 183.284929109876
"293" 174.111539117589 178.930184796694 183.357146982241
"294" 174.167064592385 178.993736761342 183.429288900505
"295" 174.222538263973 179.057240227593 183.501360500681
"296" 174.277999133439 179.12069963978 183.573367112419
"297" 174.334751094531 179.185403696914 183.646596852331
"298" 174.411695589513 179.270228556057 183.739905715227
"299" 174.523873365382 179.390198392017 183.868302375683
"300" 174.676431244416 179.550456182521 184.036925338819
"301" 174.789945961483 179.671669457681 184.166532392424
"302" 174.928700055765 179.818049376035 184.3212605401
"303" 175.030878419152 179.927852675317 184.439437288462
"304" 175.114178610612 180.018757800412 184.538719678961
"305" 175.173553920149 180.085725301719 184.614073712685
"306" 175.229176822377 180.148906284344 184.685627068172
"307" 175.28480579869 180.212057107639 184.757132342741
"308" 175.340441759538 180.275180856035 184.828593303386
"309" 175.396085535136 180.338280423725 184.900013489264
"310" 175.435727248595 180.39127378291 184.964359971532
"311" 175.491364715615 180.454303119298 185.035671846258
"312" 175.546951868693 180.517306297661 185.106940671896
"313" 175.602521530131 180.580286075724 185.178169818245
"314" 175.658088838339 180.643245038016 185.249362447921
"315" 175.713660913918 180.706185604001 185.320521525911
"316" 175.769241225428 180.769110035865 185.39164982874
"317" 175.824831562049 180.832020445945 185.462749953221
"318" 175.880432925723 180.894918803843 185.533824324842
"319" 175.936045935434 180.957806943221 185.604875205778
"320" 175.991671011149 181.020686568298 185.675904702564
"321" 176.048396131792 181.084645647038 185.747999850082
"322" 176.124711847021 181.168154057891 185.839608563997
"323" 176.239208747083 181.289781864002 185.969279171718
"324" 176.352635420368 181.410326143431 186.097857459281
"325" 176.462813695822 181.527611731642 186.223170440981
"326" 176.610079126714 181.681926007493 186.385455470623
"327" 176.723544110548 181.802468039879 186.513999455318
"328" 176.821788897858 181.907794934386 186.627334941896
"329" 176.888399210908 181.981512440883 186.709087395569
"330" 176.944131427173 182.044351446864 186.779960894038
"331" 176.999859093128 182.107172767351 186.850802631586
"332" 177.055582904922 182.169977977086 186.921614566942
"333" 177.111303496626 182.232768536657 186.992398519752
"334" 177.167021443427 182.295545798167 187.063156177423
"335" 177.222737264667 182.358311010645 187.13388910166
"336" 177.278451426736 182.421065325202 187.204598734702
"337" 177.334164345831 182.483809799949 187.275286405262
"338" 177.389876390586 182.546545404683 187.345953334209
"339" 177.445587884576 182.609273025368 187.416600639978
"340" 177.501299108703 182.67199346839 187.487229343739
"341" 177.557010303474 182.734707464629 187.557840374321
"342" 177.612721671162 182.797415673337 187.62843457292
"343" 177.66843337788 182.860118685837 187.699012697581
"344" 177.72414555554 182.922817029047 187.769575427486
"345" 177.782032791264 182.987682900672 187.842292262049
"346" 177.856427013088 183.069030405682 187.931458732987
"347" 177.974905152495 183.19440196808 188.064581542287
"348" 178.116515973829 183.342874025986 188.220765545855
"349" 178.276809729392 183.510002497862 188.395572294686
"350" 178.433744002162 183.67377301375 188.567016114303
"351" 178.566560576096 183.813453377507 188.714391358938
"352" 178.658553211951 183.912357962004 188.821033351273
"353" 178.719795810546 183.980546334293 188.896986535244
"354" 178.775483278044 184.043179806035 188.967377291596
"355" 178.831149439066 184.105785147271 189.037724995136
"356" 178.886795165316 184.168363586622 189.108031169342
"357" 178.942421265126 184.230916263244 189.178297228265
"358" 178.998028486682 184.293444231383 189.248524482094
"359" 179.053617521091 184.355948464717 189.318714142466
"360" 179.10918900531 184.418429860485 189.388867327513
"361" 179.16474352492 184.48088924342 189.458985066675
"362" 179.220281616778 184.543327369497 189.529068305283
"363" 179.275803771547 184.605744929499 189.599117908916
"364" 179.331310436088 184.668142552413 189.669134667568
"365" 179.386802015752 184.730520808669 189.739119299596
"366" 179.442278876562 184.792880213213 189.809072455497
"367" 179.497741347278 184.85522122845 189.878994721493
"368" 179.553189721381 184.917544267027 189.948886622956
"369" 179.611291794989 184.982513608588 190.021408777811
"370" 179.698723024234 185.076768547113 190.123162888812
"371" 179.814695324337 185.199522681018 190.253364366816
"372" 179.97778154386 185.369323606338 190.430534565103
"373" 180.139080101939 185.537337099994 190.605909398644
"374" 180.280804679046 185.685800346457 190.761750402081
"375" 180.400282844218 185.812043369601 190.895390011694
"376" 180.485854341854 185.904421091241 190.995198844702
"377" 180.54561434387 185.971016318529 191.069246717646
"378" 180.600895399343 186.033131122662 191.138803888594
"379" 180.656142705704 186.095204554739 191.208303036211
"380" 180.711357269875 186.157237839481 191.277745664598
"381" 180.766540034681 186.21923212022 191.347133178787
"382" 180.821691882073 186.281188463039 191.416466889788
"383" 180.876813636187 186.343107860699 191.485748019387
"384" 180.931906066254 186.404991236388 191.554977704732
"385" 180.986969889385 186.466839447281 191.624157002676
"386" 181.042005773198 186.528653287931 191.693286893919
"387" 181.097014338347 186.590433493499 191.762368286954
"388" 181.151996160901 186.652180742825 191.831402021818
"389" 181.206951774634 186.713895661354 191.900388873659
"390" 181.261881673188 186.775578823914 191.969329556141
"391" 181.316786312142 186.837230757373 192.038224724672
"392" 181.371666110974 186.898851943157 192.107074979491
"393" 181.429484063751 186.963401125984 192.178834668026
"394" 181.516410116221 187.057010257566 192.279595990381
"395" 181.636495293031 187.183724974558 192.413399042699
"396" 181.773545317524 187.327374923003 192.564098638147
"397" 181.940690619174 187.50107078323 192.744784768369
"398" 182.078684062966 187.645652501675 192.896388767979
"399" 182.206674786801 187.780239371984 193.037998512047
"400" 182.298494871891 187.878701589504 193.143524172872
"401" 182.358187705291 187.945075357959 193.216994349622
"402" 182.412801865591 188.006367985909 193.285372992736
"403" 182.46737295066 188.067607580352 193.353680406185
"404" 182.521902083781 188.12879546887 193.421918211229
"405" 182.57639032297 188.189932899089 193.490087932244
"406" 182.630838664225 188.2510210427 193.558191001613
"407" 182.685248044597 188.312060999278 193.626228764376
"408" 182.739619345121 188.373053799914 193.694202482652
"409" 182.793953393612 188.434000410677 193.762113339852
"410" 182.848250967315 188.494901735902 193.829962444679
"411" 182.902512795434 188.555758621327 193.897750834948
"412" 182.95673956154 188.616571857072 193.965479481201
"413" 183.010931905859 188.677342180473 194.033149290164
"414" 183.065090427458 188.738070278788 194.100761108033
"415" 183.119215686315 188.798756791761 194.16831572359
"416" 183.173308205298 188.859402314074 194.235813871184
"417" 183.229737475178 188.922372728142 194.305617691366
"418" 183.304297276519 189.003437375105 194.393470814407
"419" 183.416335484394 189.121914331413 194.518659968781
"420" 183.538019335493 189.250014730718 194.653442715298
"421" 183.663227294535 189.38162620996 194.791716400878
"422" 183.758202553662 189.483044527969 194.899832294265
"423" 183.837448688102 189.56874928393 194.992244635013
"424" 183.899779132999 189.637555246873 195.0677696113
"425" 183.945989005421 189.693452322042 195.132035879678
"426" 183.990957353789 189.748097876413 195.195033041965
"427" 183.930427136296 189.735806022499 195.210951102155
"428" 183.869742553941 189.723285230396 195.226566542298
"429" 183.905072126647 189.771757028213 195.284896860082
"430" 183.922243773993 189.80888155173 195.335143177341
"431" 183.965353068536 189.862500344463 195.396868159008
"432" 184.008150804233 189.915923333772 195.458351872999
"433" 184.059528258391 189.974735899194 195.523524507561
"434" 184.110762984388 190.033376634289 195.588483319694
"435" 184.161905482367 190.091853301168 195.653237548215
"436" 184.212979831312 190.150173310316 195.717796023574
"437" 184.263998116647 190.208343735203 195.782167184444
"438" 184.297347317015 190.25517411399 195.838481570258
"439" 184.189616057466 190.212214339182 195.831530894296
"440" 184.081765516415 190.168913967383 195.824113027256
"441" 183.999532931125 190.141990413363 195.827963164212
"442" 183.857649124608 190.07810263549 195.80629183627
"443" 183.810535292811 190.077458053093 195.831136597994
"444" 183.781268083809 190.08870522438 195.864433629348
"445" 183.777862739562 190.119716271481 195.914046890894
"446" 183.819917315013 190.177203996648 195.980126440224
"447" 183.878879958923 190.245380795625 196.05348696331
"448" 183.938760249386 190.314383838007 196.127571062251
"449" 183.990543759941 190.375075817276 196.193262824633
"450" 184.034306958608 190.427479174034 196.25058895467
"451" 184.077982375485 190.479496556204 196.307441802085
"452" 184.121590842929 190.531150093555 196.363847763901
"453" 184.165144956318 190.582460938572 196.419832096814
"454" 184.208653433693 190.633449303334 196.475418959375
"455" 184.252123090637 190.684134495363 196.530631452997
"456" 184.295559737939 190.73453495243 196.585491661786
"457" 184.153900638711 190.666458659173 196.556637388366
"458" 184.197052458484 190.716056414509 196.61051143918
"459" 184.239609193635 190.765329076946 196.663985095198
"460" 184.281884700716 190.81429696149 196.717082657234
"461" 184.324023569476 190.862979462761 196.76982734965
"462" 184.366093768978 190.911395090583 196.8222413611
"463" 184.390489905091 190.948282959583 196.866385774667
"464" 184.432484329703 190.996189898348 196.918168382954
"465" 184.447939556011 191.026939338919 196.957719098535
"466" 184.471619203251 191.065707015653 197.005212565644
"467" 184.51653012731 191.122377947426 197.068866054325
"468" 184.512438649393 191.149039915309 197.112417751532
"469" 184.34961405437 191.070911077787 197.079365927216
"470" 184.461967769915 191.188510186292 197.200278111944
"471" 184.536330545784 191.268476509684 197.283559472311
"472" 184.592715348479 191.330522127349 197.348886860719
"473" 184.636500907381 191.379883896733 197.401490400229
"474" 184.676056384887 191.424851940965 197.44964765403
"475" 184.715571161778 191.469580700172 197.497508655424
"476" 184.755071499141 191.514088221224 197.545095056312
"477" 184.794573282016 191.558391690082 197.592427498092
"478" 184.834086811113 191.602507466916 197.639525652037
"479" 184.873619331858 191.646451119996 197.686408258293
"480" 184.913176371365 191.690237458405 197.733093163519
"481" 184.952742307146 191.733880563578 197.779597357214
"482" 184.992341681245 191.777393819695 197.825937006736
"483" 185.031978067797 191.820789942974 197.87212749107
"484" 185.071654633264 191.864081009869 197.918183433363
"485" 185.084719633287 191.890194687307 197.952047186771
"486" 185.044476928237 191.882004059413 197.961599742889
"487" 184.986369968752 191.862220322078 197.962842230975
"488" 184.927968000954 191.842188385953 197.963763427732
"489" 184.913482925714 191.850340235414 197.984450425818
"490" 184.849909343355 191.828693101768 197.985271948325
"491" 184.820319458696 191.831567062534 198.005508496481
"492" 184.87815858587 191.896672137167 198.074537732227
"493" 184.960415937068 191.986331707777 198.168015496339
"494" 185.006060734344 192.045734544008 198.234557594122
"495" 185.076622337192 192.120412562991 198.311317278897
"496" 185.131593347904 192.179421974331 198.372391553019
"497" 185.175689469926 192.227405960419 198.422417234421
"498" 185.212006558387 192.267432608245 198.464459313163
"499" 185.24835737031 192.307295788216 198.506298954612
"500" 185.177937129798 192.27836674105 198.499386744189
"501" 185.214252319984 192.317790704821 198.540686591342
"502" 185.250298257284 192.357046773608 198.581779097444
"503" 185.286254492308 192.396151833463 198.622684445609
"504" 185.322204180664 192.43512192696 198.663421832127
