"date" "P" "ETpot" "Q" "T" "GWL"
"61345" 2012010100 0 0 0.1014 10.4 NA
"61346" 2012010101 0.3 0 0.1014 10.3 NA
"61347" 2012010102 0.2 0 0.1019 10.3 NA
"61348" 2012010103 0.2 0 0.103 10.7 NA
"61349" 2012010104 1.2 0 0.1052 10.8 NA
"61350" 2012010105 0.1 0 0.1102 10.8 NA
"61351" 2012010106 0.1 0 0.1169 10.9 NA
"61352" 2012010107 0.3 0 0.1218 11.1 NA
"61353" 2012010108 1.1 0.0069 0.1252 11.3 NA
"61354" 2012010109 0.2 0.0125 0.1318 11.4 NA
"61355" 2012010110 0.1 0.0167 0.1385 11.5 NA
"61356" 2012010111 0.3 0.0181 0.1423 11.8 NA
"61357" 2012010112 0 0.0236 0.1462 11.8 NA
"61358" 2012010113 0.3 0.0153 0.1484 11.9 NA
"61359" 2012010114 0.6 0.0056 0.1495 11.8 NA
"61360" 2012010115 0.1 0.0014 0.1518 12 NA
"61361" 2012010116 0.2 0 0.1534 11.9 NA
"61362" 2012010117 0.3 0 0.154 12.1 NA
"61363" 2012010118 0.3 0 0.1567 12.4 NA
"61364" 2012010119 0.3 0 0.1595 12.6 NA
"61365" 2012010120 0.1 0 0.1628 13 NA
"61366" 2012010121 0.4 0 0.1645 13.3 NA
"61367" 2012010122 1 0 0.1667 12.6 NA
"61368" 2012010123 1.6 0 0.1717 11.2 NA
"61369" 2012010200 1.4 0 0.1933 10.2 NA
"61370" 2012010201 0.1 0 0.2282 10 NA
"61371" 2012010202 0.1 0 0.2553 9.8 NA
"61372" 2012010203 1.3 0 0.2647 9.5 NA
"61373" 2012010204 5.7 0 0.2725 9.4 NA
"61374" 2012010205 0 0 0.3423 9.1 NA
"61375" 2012010206 0 0 0.3977 8.9 NA
"61376" 2012010207 0 0 0.4004 8.5 NA
"61377" 2012010208 0 0.0089 0.381 8.2 NA
"61378" 2012010209 0 0.0327 0.3517 8.4 NA
"61379" 2012010210 0 0.0683 0.3162 8.3 NA
"61380" 2012010211 0 0.0639 0.2891 8.4 NA
"61381" 2012010212 0 0.0624 0.2675 8.2 NA
"61382" 2012010213 0 0.0416 0.2509 8.2 NA
"61383" 2012010214 0 0.0193 0.237 7.7 NA
"61384" 2012010215 0 0.003 0.2238 6.9 NA
"61385" 2012010216 0 0 0.2138 6.1 NA
"61386" 2012010217 0 0 0.2049 5.5 NA
"61387" 2012010218 0 0 0.1983 4.9 NA
"61388" 2012010219 0 0 0.1905 4.4 NA
"61389" 2012010220 0 0 0.1828 4.1 NA
"61390" 2012010221 0 0 0.1756 4.1 NA
"61391" 2012010222 0 0 0.1695 4 NA
"61392" 2012010223 0 0 0.1639 4.2 NA
"61393" 2012010300 0 0 0.159 4 NA
"61394" 2012010301 0 0 0.1534 4.2 NA
"61395" 2012010302 0 0 0.1501 4.5 NA
"61396" 2012010303 0 0 0.1468 4.3 NA
"61397" 2012010304 0 0 0.1429 5 NA
"61398" 2012010305 0 0 0.1401 4.8 NA
"61399" 2012010306 0 0 0.1374 5.4 NA
"61400" 2012010307 0 0.002 0.1346 6.2 NA
"61401" 2012010308 1 0.0061 0.1329 6 NA
"61402" 2012010309 0.6 0.0102 0.1362 7.3 NA
"61403" 2012010310 0 0.0143 0.1379 8.5 NA
"61404" 2012010311 0 0.0224 0.1396 9.4 NA
"61405" 2012010312 0 0.0204 0.1418 9.8 NA
"61406" 2012010313 0.1 0.0163 0.1429 9.8 NA
"61407" 2012010314 0.4 0.0082 0.1418 10.4 NA
"61408" 2012010315 1.6 0 0.1434 10.4 NA
"61409" 2012010316 2.1 0 0.1529 8.4 NA
"61410" 2012010317 0 0 0.18 7.9 NA
"61411" 2012010318 0 0 0.1972 8.4 NA
"61412" 2012010319 1.3 0 0.2105 6.8 NA
"61413" 2012010320 0 0 0.226 7 NA
"61414" 2012010321 0 0 0.2304 6.4 NA
"61415" 2012010322 0 0 0.2254 5.8 NA
"61416" 2012010323 0 0 0.2199 5.9 NA
"61417" 2012010400 0 0 0.2116 5.4 NA
"61418" 2012010401 0 0 0.201 5.6 NA
"61419" 2012010402 0 0 0.1927 5.3 NA
"61420" 2012010403 0 0 0.185 5.5 NA
"61421" 2012010404 0.7 0 0.1783 4.7 NA
"61422" 2012010405 0.5 0 0.1734 4.9 NA
"61423" 2012010406 0.4 0 0.1706 5 NA
"61424" 2012010407 0 0.0012 0.1695 4.8 NA
"61425" 2012010408 0 0.0162 0.1684 5 NA
"61426" 2012010409 0 0.0485 0.1662 5.9 NA
"61427" 2012010410 0.9 0.0286 0.1639 5.1 NA
"61428" 2012010411 0.1 0.0884 0.1612 6.9 NA
"61429" 2012010412 0 0.0672 0.1601 7.1 NA
"61430" 2012010413 0 0.0373 0.1584 7 NA
"61431" 2012010414 0 0.01 0.1578 6.7 NA
"61432" 2012010415 0 0.0025 0.1556 6.8 NA
"61433" 2012010416 0 0 0.1523 6.6 NA
"61434" 2012010417 0 0 0.1484 6.5 NA
"61435" 2012010418 0.1 0 0.1462 6.3 NA
"61436" 2012010419 0 0 0.1429 6.8 NA
"61437" 2012010420 0.7 0 0.1412 6.2 NA
"61438" 2012010421 0.5 0 0.1412 6.8 NA
"61439" 2012010422 0.4 0 0.1451 7.3 NA
"61440" 2012010423 1.4 0 0.149 7.3 NA
"61441" 2012010500 1.3 0 0.1606 7.7 NA
"61442" 2012010501 2.3 0 0.1839 8 NA
"61443" 2012010502 1.4 0 0.2287 7.9 NA
"61444" 2012010503 1.9 0 0.2958 8.2 NA
"61445" 2012010504 0.7 0 0.37 9.4 NA
"61446" 2012010505 3.3 0 0.4436 6.8 NA
"61447" 2012010506 0.2 0 0.5134 6.5 NA
"61448" 2012010507 0 0.0015 0.5334 7.3 NA
"61449" 2012010508 0 0.0134 0.5228 8.1 NA
"61450" 2012010509 0 0.0209 0.4902 7.4 NA
"61451" 2012010510 0 0.0821 0.4392 8.4 NA
"61452" 2012010511 0.1 0.0507 0.3849 7.4 NA
"61453" 2012010512 0.2 0.0328 0.3445 6.2 NA
"61454" 2012010513 0 0.0836 0.3157 7.1 NA
"61455" 2012010514 1 0.0119 0.293 5.6 NA
"61456" 2012010515 0 0.003 0.2836 5.5 NA
"61457" 2012010516 0 0 0.2742 5.6 NA
"61458" 2012010517 0.1 0 0.2636 5.8 NA
"61459" 2012010518 0 0 0.2553 5.3 NA
"61460" 2012010519 0.1 0 0.2454 4.4 NA
"61461" 2012010520 0.3 0 0.2354 3.1 NA
"61462" 2012010521 0.1 0 0.2304 4 NA
"61463" 2012010522 0 0 0.2249 4.6 NA
"61464" 2012010523 0.1 0 0.2199 5 NA
"61465" 2012010600 0.2 0 0.2143 5.3 NA
"61466" 2012010601 0 0 0.2099 5.3 NA
"61467" 2012010602 0 0 0.2038 6 NA
"61468" 2012010603 0.1 0 0.1983 6.1 NA
"61469" 2012010604 0.2 0 0.1933 6.4 NA
"61470" 2012010605 0 0 0.1894 6.2 NA
"61471" 2012010606 0.2 0 0.1844 5.9 NA
"61472" 2012010607 0.2 0 0.1806 5.7 NA
"61473" 2012010608 0 0.0188 0.1778 6.3 NA
"61474" 2012010609 0 0.0602 0.1767 6.9 NA
"61475" 2012010610 0 0.0702 0.175 7.2 NA
"61476" 2012010611 0 0.0966 0.1706 7.6 NA
"61477" 2012010612 0 0.0878 0.1678 7.5 NA
"61478" 2012010613 0 0.0389 0.1645 7.3 NA
"61479" 2012010614 0 0.0238 0.1612 6.7 NA
"61480" 2012010615 0 0.0038 0.1573 6.4 NA
"61481" 2012010616 0 0 0.1529 6 NA
"61482" 2012010617 0 0 0.149 6.2 NA
"61483" 2012010618 0 0 0.1468 5.6 NA
"61484" 2012010619 0 0 0.1434 5.5 NA
"61485" 2012010620 0 0 0.1412 5.3 NA
"61486" 2012010621 0 0 0.139 4.8 NA
"61487" 2012010622 0 0 0.1362 4.4 NA
"61488" 2012010623 0 0 0.1346 4.3 NA
"61489" 2012010700 0 0 0.1329 4.1 NA
"61490" 2012010701 0 0 0.1307 4.5 NA
"61491" 2012010702 0.2 0 0.1296 4.4 NA
"61492" 2012010703 0.1 0 0.129 5.1 NA
"61493" 2012010704 0.1 0 0.1279 5.9 NA
"61494" 2012010705 0.6 0 0.1274 6.7 NA
"61495" 2012010706 0.6 0 0.1285 7.3 NA
"61496" 2012010707 0.1 0 0.1313 7.9 NA
"61497" 2012010708 1.1 0.0081 0.1346 8.2 NA
"61498" 2012010709 0 0.0374 0.1446 8.5 NA
"61499" 2012010710 0 0.0407 0.149 8.3 NA
"61500" 2012010711 0 0.0325 0.1518 7.6 NA
"61501" 2012010712 0.7 0.0423 0.1545 7.2 NA
"61502" 2012010713 0.5 0.0228 0.1578 6.7 NA
"61503" 2012010714 0.5 0.0114 0.1634 6.7 NA
"61504" 2012010715 0 0.0049 0.1673 6.8 NA
"61505" 2012010716 2.6 0 0.1717 6 NA
"61506" 2012010717 0.2 0 0.1767 6.5 NA
"61507" 2012010718 0 0 0.1855 6.7 NA
"61508" 2012010719 0 0 0.1922 6.6 NA
"61509" 2012010720 0 0 0.1933 6.1 NA
"61510" 2012010721 0 0 0.1894 6.5 NA
"61511" 2012010722 0 0 0.185 6.3 NA
"61512" 2012010723 0 0 0.1789 6.3 NA
"61513" 2012010800 0 0 0.1722 6.4 NA
"61514" 2012010801 0 0 0.1667 6.4 NA
"61515" 2012010802 0 0 0.1617 6.9 NA
"61516" 2012010803 0 0 0.1573 6.6 NA
"61517" 2012010804 0 0 0.1529 6.8 NA
"61518" 2012010805 0 0 0.1495 6.9 NA
"61519" 2012010806 0 0 0.1462 6.5 NA
