"d" "date" "P" "ETpot" "Qobs" "fXG" "fXS" "hSmin" "dGobs" "ETact" "Q" "fGS" "fQS" "dV" "dVeq" "dG" "hQ" "hS" "W"
1325376000 20120101000000 NA NA NA NA NA 0 0 NA 0.1014 NA NA 159.19 159.19 1250 0.06 172.59 0.9347
1325379600 20120101010000 0 0 0.1014 0 0 0 0 0 0.1014 0.0738 0.0276 159.28 159.19 1250 0.03 172.59 0.9346
1325383200 20120101020000 0.3 0 0.1014 0 0 0 0 0 0.1014 0.0738 0.0124 159.34 159.2 1250.02 0.29 172.74 0.9345
1325386800 20120101030000 0.2 0 0.1019 0 0 0 0 0 0.1015 0.0738 0.144 159.41 159.2 1250.06 0.32 174.1 0.9345
1325390400 20120101040000 0.2 0 0.103 0 0 0 0 0 0.1027 0.0736 0.1573 159.48 159.21 1250.11 0.33 175.58 0.9344
1325394000 20120101050000 1.2 0 0.1052 0 0 0 0 0 0.104 0.0734 0.1633 159.48 159.23 1250.17 1.27 178.11 0.9344
1325397600 20120101060000 0.1 0 0.1102 0 0 0 0 0 0.1063 0.0731 0.6271 159.55 159.24 1250.24 0.67 184.15 0.9344
1325401200 20120101070000 0.1 0 0.1169 0 0 0 0 0 0.1118 0.0723 0.3294 159.63 159.25 1250.31 0.39 187.15 0.9343
1325404800 20120101080000 0.3 0 0.1218 0 0 0 0 0 0.1145 0.0719 0.1949 159.69 159.27 1250.41 0.46 188.97 0.9343
1325408400 20120101090000 1.1 0.0069 0.1252 0 0 0 0 0.0068 0.1162 0.0717 0.2263 159.7 159.29 1250.51 1.23 191.88 0.9343
1325412000 20120101100000 0.2 0.0125 0.1318 0 0 0 0 0.0124 0.1189 0.0713 0.6094 159.78 159.31 1250.62 0.74 197.69 0.9342
1325415600 20120101110000 0.1 0.0167 0.1385 0 0 0 0 0.0166 0.1243 0.0705 0.3675 159.87 159.33 1250.73 0.43 200.91 0.9341
1325419200 20120101120000 0.3 0.0181 0.1423 0 0 0 0 0.018 0.1274 0.0701 0.2121 159.94 159.35 1250.87 0.47 202.74 0.9341
1325422800 20120101130000 0 0.0236 0.1462 0 0 0 0 0.0234 0.1291 0.0698 0.2341 160.04 159.38 1251.02 0.21 204.46 0.934
1325426400 20120101140000 0.3 0.0153 0.1484 0 0 0 0 0.0152 0.1307 0.0695 0.1057 160.12 159.41 1251.18 0.38 205.19 0.9339
1325430000 20120101150000 0.6 0.0056 0.1495 0 0 0 0 0.0056 0.1314 0.0694 0.186 160.16 159.44 1251.36 0.73 207.03 0.9339
1325433600 20120101160000 0.1 0.0014 0.1518 0 0 0 0 0.0014 0.1332 0.0691 0.3605 160.23 159.48 1251.54 0.42 210.09 0.9338
1325437200 20120101170000 0.2 0 0.1534 0 0 0 0 0 0.1362 0.0687 0.2089 160.3 159.51 1251.73 0.38 211.7 0.9338
1325440800 20120101180000 0.3 0 0.154 0 0 0 0 0 0.1378 0.0685 0.1865 160.35 159.55 1251.92 0.45 213.18 0.9337
1325444400 20120101190000 0.3 0 0.1567 0 0 0 0 0 0.1392 0.0682 0.2225 160.41 159.59 1252.12 0.48 214.99 0.9337
1325448000 20120101200000 0.3 0 0.1595 0 0 0 0 0 0.141 0.068 0.2387 160.46 159.62 1252.33 0.5 216.95 0.9336
1325451600 20120101210000 0.1 0 0.1628 0 0 0 0 0 0.1429 0.0677 0.2461 160.53 159.66 1252.54 0.32 218.76 0.9336
1325455200 20120101220000 0.4 0 0.1645 0 0 0 0 0 0.1447 0.0674 0.1572 160.58 159.7 1252.75 0.52 219.96 0.9335
1325458800 20120101230000 1 0 0.1667 0 0 0 0 0 0.1459 0.0672 0.2553 160.59 159.74 1252.97 1.17 222.72 0.9335
1325462400 20120102000000 1.6 0 0.1717 0 0 0 0 0 0.1486 0.0668 0.576 160.56 159.78 1253.18 2.02 229.26 0.9336
1325466000 20120102010000 1.4 0 0.1933 0 0 0 0 0 0.1579 0.0656 1.0218 160.54 159.82 1253.37 2.19 239.96 0.9336
1325469600 20120102020000 0.1 0 0.2282 0 0 0 0 0 0.1662 0.0645 1.082 160.6 159.85 1253.55 1.08 249.86 0.9335
1325473200 20120102030000 0.1 0 0.2553 0 0 0 0 0 0.1766 0.0632 0.5348 160.66 159.89 1253.74 0.58 254.17 0.9335
1325476800 20120102040000 1.3 0 0.2647 0 0 0 0 0 0.1812 0.0626 0.2876 160.65 159.92 1253.94 1.48 257.16 0.9335
1325480400 20120102050000 5.7 0 0.2725 0 0 0 0 0 0.1892 0.0616 1.3863 160.34 159.95 1254.09 5.26 275.45 0.9337
1325484000 20120102060000 0 0 0.3423 0 0 0 0 0 0.2129 0.0589 2.1552 160.4 159.97 1254.19 2.86 295.46 0.9337
1325487600 20120102070000 0 0 0.3977 0 0 0 0 0 0.2307 0.0569 1.2192 160.47 159.99 1254.3 1.51 305.92 0.9336
1325491200 20120102080000 0 0 0.4004 0 0 0 0 0 0.2409 0.0557 0.6424 160.53 160.01 1254.42 0.79 310.49 0.9336
1325494800 20120102090000 0 0.0089 0.381 0 0 0 0 0.0088 0.2453 0.0552 0.3384 160.6 160.04 1254.55 0.42 311.96 0.9335
1325498400 20120102100000 0 0.0327 0.3517 0 0 0 0 0.0325 0.2465 0.0551 0.1783 160.69 160.06 1254.7 0.22 311.8 0.9335
1325502000 20120102110000 0 0.0683 0.3162 0 0 0 0 0.0678 0.246 0.0551 0.094 160.82 160.09 1254.86 0.12 310.76 0.9334
1325505600 20120102120000 0 0.0639 0.2891 0 0 0 0 0.0634 0.2446 0.0552 0.0495 160.95 160.13 1255.05 0.06 309.3 0.9332
