"x" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 1325376000 -14.0995642140474 -15.2341134312137 -12.9776904080001 -18.0912484760199 -17.2189744435733 -23.4794584853683 -15.1873458402962 -14.338761990436 -7.84485936320629 -11.2406331418721
"2" 1325379600 -13.9018269910652 -15.0365247248608 -12.7799432985572 -17.8933990361639 -17.0211183375769 -23.2817361990679 -14.9896599556617 -14.1412447661383 -7.64808653907556 -11.0431854232753
"3" 1325383200 -13.8053907755472 -14.9404602641616 -12.6834830737149 -17.7966795601021 -16.9243824691387 -23.1853337160187 -14.8933518224975 -14.0453602367227 -7.55408518465822 -10.9474785913227
"4" 1325386800 -13.7098217838108 -14.8454101601061 -12.5878814153364 -17.7007122458247 -16.828392596234 -23.0898076031927 -14.7979611508378 -13.9505623207099 -7.4619327014314 -10.8529328123408
"5" 1325390400 -12.620006597922 -13.757137848331 -11.4979900016347 -16.6096607448772 -15.737282775803 -22.0000212351078 -13.7086626149374 -12.863074115193 -6.3832589523146 -9.7663112033243
"6" 1325394000 -12.6357371620742 -13.7754020440105 -11.5136169789102 -16.6233025034402 -15.7508372813977 -22.0156986191739 -13.7252283896214 -12.8826586180301 -6.41816660916346 -9.78743682418683
"7" 1325397600 -12.6512960269785 -13.7934299136244 -11.5290738459667 -16.6368198960168 -15.7642688731855 -22.031209365443 -13.7416028609189 -12.9019673384789 -6.45206324182122 -9.80823239499499
"8" 1325401200 -12.467786799424 -13.6125307139447 -11.3454616103645 -16.4511330256659 -15.5784928851776 -21.8476264011337 -13.5589536973937 -12.7224262491378 -6.2879119719579 -9.63028273213536
"9" 1325404800 -11.4974102905237 -12.6457671295858 -10.3749835161559 -15.4765914159494 -14.604271822875 -20.8772470096298 -12.5882752074362 -11.7577477528013 -5.3492997472331 -8.66815932073376
"10" 1325408400 -11.4386896909728 -12.5916519551122 -10.3161873430109 -15.411869874125 -14.5402033935207 -20.8184361276806 -12.5283720746401 -11.7064433956742 -5.33492018778544 -8.62047854075412
"11" 1325412000 -11.4838810100107 -12.6412361211473 -10.3613009528002 -15.4506239508562 -14.5798655081006 -20.8637520090552 -12.5714649022543 -11.7587802274671 -5.42281014019968 -8.67627750289997
"12" 1325415600 -11.3310872473747 -12.4928557232969 -10.2084353866486 -15.2911544618563 -14.4213806201099 -20.7110999053125 -12.4163315190775 -11.6131852060613 -5.31255633617141 -8.53418242056088
"13" 1325419200 -11.4832973131096 -12.6492027197321 -10.3605695590682 -15.4361291960925 -14.5676724444014 -20.8637383510599 -12.5650073772955 -11.7722444126757 -5.50558765734525 -8.69653645102099
"14" 1325422800 -11.3279812213192 -12.4982694943938 -10.2051864733008 -15.2746071147369 -14.4069347497329 -20.708408134684 -12.4080628131921 -11.6239941035376 -5.38916797467164 -8.55166565644759
"15" 1325426400 -10.8682242397049 -12.044021884114 -9.74541793709629 -14.8089423612284 -13.9414366405754 -20.2477687648832 -11.949112430341 -11.172954198795 -4.9761044889587 -8.10507600997959
"16" 1325430000 -10.9077440486905 -12.0897022584582 -9.78496895406482 -14.8424636279536 -13.974859961058 -20.2859183332821 -11.9905339359724 -11.2221809736546 -5.06705612065156 -8.15942611759331
"17" 1325433600 -10.8461603555018 -12.0342527938105 -9.72341975161802 -14.7750775367728 -13.9072898446759 -20.2228930322629 -11.9311431880354 -11.1702211363565 -5.05464590512822 -8.11250246476873
"18" 1325437200 -10.6862904293383 -11.8807319234507 -9.56360979914407 -14.6091081281066 -13.7411397600518 -20.0614292992983 -11.7735225550521 -11.020333358019 -4.94548014919677 -7.96791585549675
"19" 1325440800 -10.5289369538876 -11.7300861479465 -9.40635751795382 -14.4451825790402 -13.5770386703635 -19.9022372920282 -11.6185130231955 -10.873567809583 -4.84215399303532 -7.82691850678086
"20" 1325444400 -10.3741417740802 -11.5823528586039 -9.25170999223007 -14.2833293968603 -13.4150167556077 -19.7453394677713 -11.4661525199645 -10.7299637527847 -4.74463439207675 -7.68956443489037
"21" 1325448000 -10.4202492770316 -11.6355519345147 -9.29798059166664 -14.3222674848114 -13.4537904049018 -19.7892693153895 -11.5146973771737 -10.7873076313617 -4.84691644850217 -7.7531835398557
"22" 1325451600 -10.1681284620862 -11.3907123484575 -9.04605855162283 -14.0626656188504 -13.1940311652701 -19.5347836876908 -11.2650575396337 -10.5467482480325 -4.65209503215321 -7.51916845507049
"23" 1325455200 -9.32615421694092 -10.5577583150033 -8.20455591557937 -13.2108654657923 -12.3421173927962 -18.6890347237352 -10.4259837745221 -9.71942414160253 -3.89152765400911 -6.7012802795472
"24" 1325458800 -7.90976593421139 -9.15492813188001 -6.78975185401442 -11.7777305462145 -10.9090720397009 -17.2639831323593 -9.0133905733149 -8.3263013683886 -2.64778625218869 -5.32792582693773
"25" 1325462400 -6.73303632552755 -7.99842399375696 -5.61749576237185 -10.5714992659985 -9.70346574141345 -16.0680182733828 -7.8411947007241 -7.1869868644911 -1.85332868562271 -4.23192291023584
"26" 1325466000 -6.87594759585943 -8.16395927768214 -5.76661397780188 -10.6784430728085 -9.81137888220664 -16.1858147405365 -7.98861426027964 -7.37292249099102 -2.38814382502701 -4.47157977101063
"27" 1325469600 -7.01299990221117 -8.32163108053182 -5.90895821221449 -10.7826623043076 -9.91645837054392 -16.3004516591008 -8.12998706491471 -7.54833776309755 -2.77057406774455 -4.68977196218517
"28" 1325473200 -5.97094259885626 -7.30222306977496 -4.87444790907201 -9.70045178855857 -8.83555184194593 -15.2289088359143 -7.09189552397081 -6.55007716231851 -2.02076991665862 -3.74637353780819
"29" 1325476800 -1.08606192975368 -2.36204283436643 -0.597519014528805 -4.39417631911441 -3.54959291808627 -9.910459010274 -2.07086409349692 -1.83803643755514 -0.484434393546036 -94.4000467767363
"30" 1325480400 -2.80533978706883 -3.59687723777404 -6.56275169296554 -5.01109159799333 -4.21597032126888 -10.4649891028522 -3.20664057277401 -3.4399156622052 -54.1492066572242 -94.4000467767363
"31" 1325484000 -3.42520806152823 -4.37326508055717 -6.77240203192865 -5.53996122618709 -4.77008736741548 -10.9654101120832 -3.94105092418718 -4.20533216595508 -54.1492066572242 -94.4000467767363
"32" 1325487600 -3.93295848254363 -4.98210628743325 -6.97520162176237 -6.00854676048905 -5.25278292318727 -11.4232255838193 -4.5237296163044 -4.80119975842481 -54.1492066572242 -94.4000467767363
"33" 1325491200 -4.37974423409432 -5.50210351908183 -7.17973531750577 -6.43940202708907 -5.69229296688754 -11.8547297842693 -5.02404575121077 -5.30839952926192 -54.1492066572242 -94.4000467767363
"34" 1325494800 -4.79905404354773 -5.9770485084602 -7.39967543969721 -6.85346420102303 -6.11282787650322 -12.2791893839026 -5.48016837825555 -5.77106277076529 -54.1492066572242 -94.4000467767363
"35" 1325498400 -5.21226275856273 -6.43323788000258 -7.64556459151293 -7.26567640676597 -6.53125300091154 -12.7110127139098 -5.91497241470914 -6.21549092887617 -54.1492066572242 -94.4000467767363
